"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1024157-20","","赤松小学校前(2)","","33.24311","130.30197","1024157-20","","0","1024157","",""
"1024158-20","","中の館(2)","","33.24207","130.30209","1024158-20","","0","1024158","",""
"1024159-20","","鬼丸(2)","","33.24008","130.30219","1024159-20","","0","1024159","",""
"1025170-20","","袋入口(2)","","33.23743","130.30188","1025170-20","","0","1025170","",""
"1025171-00","","末次","","33.2343","130.30161","1025171-00","","0","1025171","",""
"1025172-20","","末次南(2)","","33.23069","130.30188","1025172-20","","0","1025172","",""
"1025173-00","","満穴","","33.2275","130.30203","1025173-00","","0","1025173","",""
"1025174-00","","中島","","33.22463","130.30246","1025174-00","","0","1025174","",""
"1025175-00","","立野北","","33.22261","130.30214","1025175-00","","0","1025175","",""
"1025176-00","","立野","","33.22041","130.30194","1025176-00","","0","1025176","",""
"1025177-00","","西船津","","33.21111","130.30115","1025177-00","","0","1025177","",""
"1025178-00","","佐房","","33.20796","130.29932","1025178-00","","0","1025178","",""
"1025179-00","","新村","","33.20406","130.29813","1025179-00","","0","1025179","",""
"1025180-00","","久町","","33.19907","130.29802","1025180-00","","0","1025180","",""
"1025181-00","","広江","","33.19752","130.29768","1025181-00","","0","1025181","",""
"1025182-20","","小々森(2)","","33.19707","130.30527","1025182-20","","0","1025182","",""
"1025183-00","","南部消防署前","","33.19746","130.31117","1025183-00","","0","1025183","",""
"1025182-10","","小々森(1)","","33.19682","130.30466","1025182-10","","0","1025182","",""
"1025174-02","","中島","","33.224605","130.302435","1025174-02","","0","1025174","",""
"1025172-10","","末次南(1)","","33.23127","130.30179","1025172-10","","0","1025172","",""
"1025170-10","","袋入口(1)","","33.23769","130.30173","1025170-10","","0","1025170","",""
"1024159-10","","鬼丸(1)","","33.23986","130.30209","1024159-10","","0","1024159","",""
"1024158-10","","中の館(1)","","33.24218","130.302","1024158-10","","0","1024158","",""
"1024157-10","","赤松小学校前(1)","","33.24397","130.3017","1024157-10","","0","1024157","",""
"1024156-10","","博物館前(1)","","33.24504","130.30141","1024156-10","","0","1024156","",""
"1024160-20","","大井樋(2)","","33.23916","130.29597","1024160-20","","0","1024160","",""
"1024161-20","","佐賀大学南(2)","","33.23955","130.28972","1024161-20","","0","1024161","",""
